"source";"price_date";"price";"open";"high";"low";"close"
"COINMARKETCAP";20191221;128.13;129.1;129.15;127.61;128.13
"COINMARKETCAP";20191223;128.61;132.31;134.73;127.42;128.61
"COINMARKETCAP";20191222;132.37;128.1;133.16;127.93;132.37
"COINMARKETCAP";20191225;126.45;129.07;129.07;124.89;126.45
"COINMARKETCAP";20191226;126.36;126.49;130.9;125.41;126.36
"COINMARKETCAP";20191227;127.21;126.37;128.1;124.82;127.21
"COINMARKETCAP";20191229;134.76;128.27;136.81;128.0;134.76
"COINMARKETCAP";20200102;127.41;130.82;130.82;126.95;127.41
"COINMARKETCAP";20200103;134.17;127.41;134.55;126.49;134.17
"COINMARKETCAP";20200104;135.07;134.17;136.05;133.04;135.07
"COINMARKETCAP";20200101;130.8;129.63;132.84;129.2;130.8
"COINMARKETCAP";20200105;136.28;135.07;139.41;135.05;136.28
"COINMARKETCAP";20191228;128.32;127.21;130.26;126.9;128.32
"COINMARKETCAP";20191230;132.63;134.8;136.76;131.55;132.63
"COINMARKETCAP";20191231;129.61;132.61;133.73;128.8;129.61
"COINMARKETCAP";20200106;144.3;136.31;144.33;136.08;144.3
"COINMARKETCAP";20200107;143.54;144.31;145.0;140.49;143.54
"COINMARKETCAP";20200111;142.93;143.41;146.48;142.21;142.93
"COINMARKETCAP";20200113;144.23;146.22;146.79;142.91;144.23
"COINMARKETCAP";20200115;166.23;165.73;170.43;161.11;166.23
"COINMARKETCAP";20200112;145.87;143.03;146.15;142.71;145.87
"COINMARKETCAP";20200116;164.39;166.33;167.06;159.71;164.39
"COINMARKETCAP";20200108;141.26;143.49;146.83;138.27;141.26
"COINMARKETCAP";20200109;138.98;141.16;141.39;136.24;138.98
"COINMARKETCAP";20200110;143.96;138.97;144.17;135.52;143.96
"COINMARKETCAP";20200114;165.96;144.25;167.68;144.06;165.96
"COINMARKETCAP";20200117;170.78;164.49;173.07;162.78;170.78
"COINMARKETCAP";20200118;175.37;170.75;178.53;166.79;175.37
"COINMARKETCAP";20200119;166.97;175.47;177.25;163.68;166.97
"COINMARKETCAP";20200120;167.12;166.9;169.11;162.33;167.12
"COINMARKETCAP";20200121;169.7;167.06;169.91;165.82;169.7
"COINMARKETCAP";20200124;163.05;162.9;164.31;156.75;163.05
"COINMARKETCAP";20200126;168.08;161.18;168.22;160.28;168.08
"COINMARKETCAP";20200127;170.93;168.01;172.92;166.9;170.93
"COINMARKETCAP";20200122;168.29;169.61;171.01;166.77;168.29
"COINMARKETCAP";20200123;162.93;168.3;168.31;160.3;162.93
"COINMARKETCAP";20200125;161.28;163.07;163.23;158.63;161.28
"COINMARKETCAP";20200128;176.37;170.88;176.37;170.74;176.37
"COINMARKETCAP";20200129;175.05;176.35;178.84;175.05;175.05
"COINMARKETCAP";20200130;184.69;174.92;186.26;172.37;184.69
"COINMARKETCAP";20200201;183.67;180.11;183.85;179.75;183.67
"COINMARKETCAP";20200203;189.87;188.61;193.44;188.01;189.87
"COINMARKETCAP";20200205;204.23;189.3;206.8;188.75;204.23
"COINMARKETCAP";20200202;188.62;183.53;193.08;180.17;188.62
"COINMARKETCAP";20200204;189.25;189.86;191.11;185.4;189.25
"COINMARKETCAP";20200131;180.16;184.74;185.41;176.3;180.16
"COINMARKETCAP";20200207;222.73;212.32;223.14;212.3;222.73
"COINMARKETCAP";20200206;212.34;204.13;214.6;201.9;212.34
"COINMARKETCAP";20200208;223.15;222.51;226.59;215.39;223.15
"COINMARKETCAP";20200211;235.85;223.38;236.55;218.62;235.85
"COINMARKETCAP";20200212;265.41;235.9;272.4;235.9;265.41
"COINMARKETCAP";20200213;268.1;265.05;273.74;258.92;268.1
"COINMARKETCAP";20200215;264.73;284.56;287.12;264.28;264.73
"COINMARKETCAP";20200214;284.22;268.02;285.06;262.76;284.22
"COINMARKETCAP";20200209;228.58;222.98;229.86;222.98;228.58
"COINMARKETCAP";20200210;223.52;228.55;229.18;218.08;223.52
"COINMARKETCAP";20200216;259.89;264.9;272.88;242.48;259.89
"COINMARKETCAP";20200218;281.94;266.51;283.2;261.46;281.94
"COINMARKETCAP";20200217;266.36;259.89;266.87;244.34;266.36
"COINMARKETCAP";20200219;259.76;282.04;283.54;259.76;259.76
"COINMARKETCAP";20200222;262.33;265.55;266.39;258.91;262.33
"COINMARKETCAP";20200223;273.75;262.28;273.75;261.96;273.75
"COINMARKETCAP";20200224;265.22;273.71;275.54;259.63;265.22
"COINMARKETCAP";20200225;247.82;265.28;265.43;246.86;247.82
"COINMARKETCAP";20200220;257.95;259.82;263.7;250.95;257.95
"COINMARKETCAP";20200221;265.6;257.89;267.0;255.69;265.6
"COINMARKETCAP";20200226;225.68;247.74;249.65;221.27;225.68
"COINMARKETCAP";20200227;226.75;225.69;237.23;212.66;226.75
"COINMARKETCAP";20200228;226.76;226.99;234.21;216.35;226.76
"COINMARKETCAP";20200303;224.48;230.52;232.33;221.73;224.48
"COINMARKETCAP";20200304;224.52;224.57;228.04;222.09;224.52
"COINMARKETCAP";20200306;243.53;229.17;243.55;228.74;243.53
"COINMARKETCAP";20200229;219.85;226.83;232.26;219.85;219.85
"COINMARKETCAP";20200301;218.97;219.75;226.68;214.13;218.97
"COINMARKETCAP";20200302;230.57;218.71;232.81;217.28;230.57
"COINMARKETCAP";20200305;229.27;224.64;234.36;224.64;229.27
"COINMARKETCAP";20200307;237.85;243.75;249.98;237.55;237.85
"COINMARKETCAP";20200309;201.99;201.32;207.45;192.27;201.99
"COINMARKETCAP";20200308;200.69;237.78;237.78;200.6;200.69
"COINMARKETCAP";20200310;200.77;202.86;205.71;198.06;200.77
"COINMARKETCAP";20200311;194.87;200.77;202.95;184.36;194.87
"COINMARKETCAP";20200312;112.35;194.74;195.15;111.21;112.35
"COINMARKETCAP";20200314;123.31;133.58;134.48;122.41;123.31
"COINMARKETCAP";20200313;133.2;112.69;137.43;95.18;133.2
"COINMARKETCAP";20200316;110.61;125.0;125.0;105.17;110.61
"COINMARKETCAP";20200315;125.21;123.25;132.24;121.85;125.21
"COINMARKETCAP";20200319;136.59;114.84;140.53;114.73;136.59
"COINMARKETCAP";20200317;113.94;110.41;118.99;110.41;113.94
"COINMARKETCAP";20200318;114.84;113.86;116.02;111.74;114.84
"COINMARKETCAP";20200320;132.74;136.65;150.85;122.61;132.74
"COINMARKETCAP";20200321;132.82;133.1;135.97;127.16;132.82
