Date,Open,High,Low,Close,AdjClose,Volume
2019-04-16,161.526550,167.666321,160.888748,167.623444,167.623444,5180105341
2019-04-17,167.553696,168.938583,165.501892,166.950760,166.950760,5596102715
2019-04-18,166.913208,175.365326,166.672119,173.814026,173.814026,6971581464
2019-04-19,173.787888,173.978897,170.620209,173.708435,173.708435,6541053061
